Fecha,Descripción,Total,Category,Medio de pago
29/04/2024,Artículo hogar,"ARS 1,602.00",Deco/Insumos,Tarjeta crédito
02/05/2024,Metrogas,ARS 0.00,Servicio Básico,Pago compartido
05/05/2024,Abl,ARS 0.00,Servicio Básico,Pago compartido
25/05/2024,Educación,"ARS 9,900.00",Educación,Tarjeta crédito
25/05/2024,Streaming,ARS 817.50,Streaming,Tarjeta crédito
26/05/2024,Edesur,ARS 0.00,Servicio Básico,Pago compartido
27/05/2024,Streaming,"ARS 4,233.00",Streaming,Tarjeta crédito
27/05/2024,Aysa,ARS 0.00,Servicio Básico,Pago compartido
31/05/2024,Internet,"ARS 4,461.00",Servicio Básico,Tarjeta crédito
01/06/2024,Seguro,"ARS 23,370.00",Auto,Pago compartido
01/06/2024,Electrodoméstico,"ARS 2,361.00",Deco/Insumos,Tarjeta crédito
01/06/2024,Streaming,"ARS 1,350.00",Streaming,Tarjeta crédito
01/06/2024,Bienestar,"ARS 18,175.00",Bienestar,Pago compartido
01/06/2024,Educación,ARS 3.00,Educación,Tarjeta crédito
01/06/2024,Deporte,"ARS 42,500.00",Deporte,Transferencia bancaria
01/06/2024,Deporte,"ARS 21,990.00",Deporte,Tarjeta crédito
01/06/2024,Artículo hogar,"ARS 2,744.50",Arreglos Casa,Pago compartido
01/06/2024,Mascotas,"ARS 12,738.00",Bendis,Tarjeta crédito
01/06/2024,Streaming,"ARS 5,723.00",Streaming,Tarjeta crédito
01/06/2024,Electrodoméstico,"ARS 8,115.00",Deco/Insumos,Tarjeta crédito
06/06/2024,Consulta médica,"ARS 7,000.00",Salud,Billetera virtual
12/06/2024,Consulta médica,"ARS 125,341.00",Salud,Transferencia bancaria
13/06/2024,Regalo,"ARS 8,996.00",Regalos,Tarjeta crédito
24/06/2024,Telefonía móvil,ARS 0.00,Servicio Básico,Billetera virtual
01/07/2024,Ropa,"ARS 13,556.00",Ropa,Tarjeta crédito
01/07/2024,Educación,"ARS 22,000.00",Educación,Tarjeta crédito
01/07/2024,Librería,"ARS 10,400.00",Educación,Tarjeta crédito
01/07/2024,Artículo hogar,"ARS 12,526.00",Deco/Insumos,Tarjeta crédito
01/07/2024,Mantenimiento,"ARS 6,500.00",Auto,Tarjeta débito
02/07/2024,Supermercado,"ARS 10,960.00",Supermercado,Transferencia bancaria
02/07/2024,Bienestar,"ARS 11,405.00",Bienestar,Tarjeta crédito
02/07/2024,Restaurante,"ARS 1,500.00",Resto/Cafe,Billetera virtual
02/07/2024,Donación,"ARS 2,000.00",Donación,Billetera virtual
03/07/2024,Restaurante,ARS 26.50,Supermercado,Billetera virtual
03/07/2024,Restaurante,"ARS 1,500.00",Resto/Cafe,Billetera virtual
03/07/2024,Evento,"ARS 50,600.00",Recreación,Tarjeta crédito
04/07/2024,Restaurante,ARS 177.75,Supermercado,Billetera virtual
04/07/2024,Consulta médica,"ARS 3,800.00",Salud,Billetera virtual
04/07/2024,Mascotas,"ARS 1,300.00",Bendis,Billetera virtual
05/07/2024,Restaurante,ARS 26.00,Comida MD,Billetera virtual
06/07/2024,Regalo,"ARS 22,250.00",Regalos,Tarjeta débito
06/07/2024,Supermercado,"ARS 4,110.00",Supermercado,Tarjeta débito
06/07/2024,Nafta,"ARS 10,000.00",Auto,Tarjeta débito
06/07/2024,Restaurante,ARS 39.00,Resto/Cafe,Billetera virtual
07/07/2024,Transporte,"ARS 3,000.00",Transporte,Billetera virtual
07/07/2024,Restaurante,ARS 278.00,Resto/Cafe,Billetera virtual
07/07/2024,Regalo,"ARS 9,500.00",Regalos,Billetera virtual
07/07/2024,Recreación,"ARS 25,600.00",Recreación,Tarjeta crédito
08/07/2024,Artículo hogar,"ARS 9,600.00",Arreglos Casa,Billetera virtual
08/07/2024,Farmacia,"ARS 18,781.00",Bienestar,Tarjeta crédito
09/07/2024,Supermercado,"ARS 4,200.00",Supermercado,
09/07/2024,Supermercado,"ARS 4,700.00",Supermercado,Tarjeta débito
10/07/2024,Mantenimiento,"ARS 3,000.00",Auto,Efectivo
10/07/2024,Restaurante,ARS 26.00,Comida MD,Billetera virtual
11/07/2024,Alquiler y expensas,"ARS 282,000.00",Alquiler y Expensas,Transferencia bancaria
12/07/2024,Supermercado,"ARS 2,000.00",Supermercado,Tarjeta débito
12/07/2024,Supermercado,"ARS 5,100.00",Supermercado,Tarjeta débito
